event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Cason Wallace,OKC,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Aaron Wiggins,OKC,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Grant Williams,CHA,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Vasilije Micić,CHA,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Brandon Miller,CHA,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Miles Bridges,CHA,CHA,OKC,6:11 PM
IN,1,12:00,0,0,0,Tre Mann,CHA,CHA,OKC,6:11 PM
JM,1,12:00,0,0,0,Grant Williams,CHA,CHA,OKC,6:11 PM
AS,1,11:36,3,0,-3,Aaron Wiggins,OKC,CHA,OKC,6:11 PM
3MA,1,11:36,3,0,-3,Chet Holmgren,OKC,CHA,OKC,6:11 PM
ST,1,11:24,3,0,-3,Chet Holmgren,OKC,CHA,OKC,6:11 PM
TO,1,11:24,3,0,-3,Vasilije Micić,CHA,CHA,OKC,6:11 PM
AS,1,11:18,6,0,-6,Josh Giddey,OKC,CHA,OKC,6:11 PM
3MA,1,11:18,6,0,-6,Cason Wallace,OKC,CHA,OKC,6:11 PM
3MI,1,11:01,6,0,-6,Brandon Miller,CHA,CHA,OKC,6:12 PM
DR,1,10:58,6,0,-6,Aaron Wiggins,OKC,CHA,OKC,6:12 PM
2MI,1,10:44,6,0,-6,Josh Giddey,OKC,CHA,OKC,6:12 PM
OR,1,10:42,6,0,-6,Cason Wallace,OKC,CHA,OKC,6:12 PM
FD,1,10:31,6,0,-6,Brandon Miller,CHA,CHA,OKC,6:12 PM
FL,1,10:31,6,0,-6,Chet Holmgren,OKC,CHA,OKC,6:12 PM
TO,1,10:31,6,0,-6,Chet Holmgren,OKC,CHA,OKC,6:12 PM
AS,1,10:16,6,2,-4,Grant Williams,CHA,CHA,OKC,6:13 PM
2MA,1,10:16,6,2,-4,Miles Bridges,CHA,CHA,OKC,6:13 PM
AS,1,10:06,8,2,-6,Cason Wallace,OKC,CHA,OKC,6:13 PM
2MA,1,10:06,8,2,-6,Josh Giddey,OKC,CHA,OKC,6:13 PM
ST,1,9:58,8,2,-6,Cason Wallace,OKC,CHA,OKC,6:13 PM
TO,1,9:58,8,2,-6,Vasilije Micić,CHA,CHA,OKC,6:13 PM
AS,1,9:50,10,2,-8,Cason Wallace,OKC,CHA,OKC,6:13 PM
2MA,1,9:50,10,2,-8,Josh Giddey,OKC,CHA,OKC,6:13 PM
AS,1,9:32,10,4,-6,Brandon Miller,CHA,CHA,OKC,6:13 PM
2MA,1,9:32,10,4,-6,Tre Mann,CHA,CHA,OKC,6:13 PM
AS,1,9:16,12,4,-8,Aaron Wiggins,OKC,CHA,OKC,6:14 PM
2MA,1,9:16,12,4,-8,Josh Giddey,OKC,CHA,OKC,6:14 PM
FD,1,9:16,12,4,-8,Josh Giddey,OKC,CHA,OKC,6:14 PM
FL,1,9:16,12,4,-8,Vasilije Micić,CHA,CHA,OKC,6:14 PM
1MA,1,9:16,13,4,-9,Josh Giddey,OKC,CHA,OKC,6:14 PM
AS,1,8:57,13,6,-7,Grant Williams,CHA,CHA,OKC,6:14 PM
2MA,1,8:57,13,6,-7,Miles Bridges,CHA,CHA,OKC,6:14 PM
3MI,1,8:50,13,6,-7,Aaron Wiggins,OKC,CHA,OKC,6:14 PM
DR,1,8:47,13,6,-7,Miles Bridges,CHA,CHA,OKC,6:15 PM
2MA,1,8:38,13,8,-5,Tre Mann,CHA,CHA,OKC,6:15 PM
2MA,1,8:24,15,8,-7,Cason Wallace,OKC,CHA,OKC,6:15 PM
OT,1,8:09,15,8,-7,Chet Holmgren,OKC,CHA,OKC,6:15 PM
IN,1,8:09,15,8,-7,Jaylin Williams,OKC,CHA,OKC,6:15 PM
FD,1,8:09,15,8,-7,Brandon Miller,CHA,CHA,OKC,6:15 PM
FL,1,8:09,15,8,-7,Josh Giddey,OKC,CHA,OKC,6:15 PM
1MA,1,8:09,15,9,-6,Brandon Miller,CHA,CHA,OKC,6:16 PM
1MI,1,8:09,15,9,-6,Brandon Miller,CHA,CHA,OKC,6:16 PM
DR,1,8:09,15,9,-6,Josh Giddey,OKC,CHA,OKC,6:16 PM
