event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Tim Hardaway Jr.,DAL,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Jaden Hardy,DAL,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Olivier-Maxence Prosper,DAL,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Dwight Powell,DAL,OKC,DAL,3:41 PM
IN,1,12:00,0,0,0,Josh Green,DAL,OKC,DAL,3:41 PM
JM,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,DAL,3:41 PM
2MI,1,11:37,0,0,0,Tim Hardaway Jr.,DAL,OKC,DAL,3:42 PM
DR,1,11:34,0,0,0,Chet Holmgren,OKC,OKC,DAL,3:42 PM
JM,1,11:14,0,0,0,Chet Holmgren,OKC,OKC,DAL,3:43 PM
3MI,1,11:13,0,0,0,Josh Giddey,OKC,OKC,DAL,3:43 PM
DR,1,11:08,0,0,0,Jaden Hardy,DAL,OKC,DAL,3:43 PM
2MI,1,11:00,0,0,0,Jaden Hardy,DAL,OKC,DAL,3:43 PM
DR,1,10:57,0,0,0,Chet Holmgren,OKC,OKC,DAL,3:43 PM
AS,1,10:48,0,2,2,Josh Giddey,OKC,OKC,DAL,3:43 PM
2MA,1,10:48,0,2,2,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:43 PM
FD,1,10:36,0,2,2,Josh Green,DAL,OKC,DAL,3:43 PM
FL,1,10:36,0,2,2,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:43 PM
TO,1,10:26,0,2,2,Olivier-Maxence Prosper,DAL,OKC,DAL,3:44 PM
AS,1,10:10,0,4,4,Jalen Williams,OKC,OKC,DAL,3:44 PM
2MA,1,10:10,0,4,4,Chet Holmgren,OKC,OKC,DAL,3:44 PM
2MI,1,9:59,0,4,4,Tim Hardaway Jr.,DAL,OKC,DAL,3:45 PM
TR,1,9:59,0,4,4,,,OKC,DAL,3:45 PM
3MI,1,9:45,0,4,4,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:45 PM
OR,1,9:41,0,4,4,Josh Giddey,OKC,OKC,DAL,3:45 PM
2MA,1,9:40,0,6,6,Josh Giddey,OKC,OKC,DAL,3:45 PM
TO,1,9:23,0,6,6,Dwight Powell,DAL,OKC,DAL,3:45 PM
2MA,1,9:10,0,8,8,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:46 PM
FD,1,9:10,0,8,8,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:46 PM
FL,1,9:10,0,8,8,Jaden Hardy,DAL,OKC,DAL,3:46 PM
1MA,1,9:10,0,9,9,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:46 PM
3MI,1,8:59,0,9,9,Tim Hardaway Jr.,DAL,OKC,DAL,3:46 PM
DR,1,8:57,0,9,9,Luguentz Dort,OKC,OKC,DAL,3:46 PM
2MI,1,8:47,0,9,9,Chet Holmgren,OKC,OKC,DAL,3:46 PM
2MA,1,8:44,0,11,11,Chet Holmgren,OKC,OKC,DAL,3:46 PM
OR,1,8:44,0,11,11,Chet Holmgren,OKC,OKC,DAL,3:46 PM
AS,1,8:30,3,11,8,Jaden Hardy,DAL,OKC,DAL,3:47 PM
3MA,1,8:30,3,11,8,Olivier-Maxence Prosper,DAL,OKC,DAL,3:47 PM
2MI,1,8:17,3,11,8,Jalen Williams,OKC,OKC,DAL,3:47 PM
OR,1,8:14,3,11,8,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:47 PM
AS,1,8:11,3,13,10,Shai Gilgeous-Alexander,OKC,OKC,DAL,3:47 PM
2MA,1,8:11,3,13,10,Luguentz Dort,OKC,OKC,DAL,3:47 PM
BL,1,7:58,3,13,10,Chet Holmgren,OKC,OKC,DAL,3:47 PM
2MI,1,7:58,3,13,10,Jaden Hardy,DAL,OKC,DAL,3:47 PM
TR,1,7:58,3,13,10,,,OKC,DAL,3:47 PM
2MI,1,7:45,3,13,10,Josh Green,DAL,OKC,DAL,3:48 PM
DR,1,7:42,3,13,10,Josh Giddey,OKC,OKC,DAL,3:48 PM
ST,1,7:33,3,13,10,Jaden Hardy,DAL,OKC,DAL,3:48 PM
TO,1,7:33,3,13,10,Chet Holmgren,OKC,OKC,DAL,3:48 PM
FD,1,7:28,3,13,10,Olivier-Maxence Prosper,DAL,OKC,DAL,3:48 PM
FL,1,7:28,3,13,10,Luguentz Dort,OKC,OKC,DAL,3:48 PM
1MA,1,7:28,4,13,9,Olivier-Maxence Prosper,DAL,OKC,DAL,3:49 PM
1MI,1,7:28,4,13,9,Olivier-Maxence Prosper,DAL,OKC,DAL,3:49 PM
TR,1,7:26,4,13,9,,,OKC,DAL,3:49 PM
