event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Cason Wallace,OKC,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Jabari Smith Jr.,HOU,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Fred VanVleet,HOU,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Amen Thompson,HOU,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Jalen Green,HOU,OKC,HOU,8:14 PM
IN,1,12:00,0,0,0,Dillon Brooks,HOU,OKC,HOU,8:14 PM
JM,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,HOU,8:14 PM
FD,1,11:42,0,0,0,Josh Giddey,OKC,OKC,HOU,8:14 PM
FL,1,11:42,0,0,0,Jabari Smith Jr.,HOU,OKC,HOU,8:14 PM
FD,1,11:37,0,0,0,Fred VanVleet,HOU,OKC,HOU,8:14 PM
FL,1,11:37,0,0,0,Cason Wallace,OKC,OKC,HOU,8:14 PM
TO,1,11:37,0,0,0,Cason Wallace,OKC,OKC,HOU,8:14 PM
AS,1,11:20,3,0,-3,Amen Thompson,HOU,OKC,HOU,8:15 PM
3MA,1,11:20,3,0,-3,Fred VanVleet,HOU,OKC,HOU,8:15 PM
3MI,1,11:04,3,0,-3,Jalen Williams,OKC,OKC,HOU,8:15 PM
OR,1,11:03,3,0,-3,Josh Giddey,OKC,OKC,HOU,8:15 PM
3MI,1,10:59,3,0,-3,Cason Wallace,OKC,OKC,HOU,8:15 PM
DR,1,10:55,3,0,-3,Amen Thompson,HOU,OKC,HOU,8:15 PM
2MA,1,10:51,5,0,-5,Amen Thompson,HOU,OKC,HOU,8:15 PM
ST,1,10:35,5,0,-5,Fred VanVleet,HOU,OKC,HOU,8:16 PM
