event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Isaiah Joe,OKC,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Gordon Hayward,OKC,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Myles Turner,IND,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Aaron Nesmith,IND,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Pascal Siakam,IND,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Andrew Nembhard,IND,IND,OKC,7:11 PM
IN,1,12:00,0,0,0,Tyrese Haliburton,IND,IND,OKC,7:11 PM
JM,1,12:00,0,0,0,Myles Turner,IND,IND,OKC,7:11 PM
3MI,1,11:42,0,0,0,Luguentz Dort,OKC,IND,OKC,7:11 PM
DR,1,11:38,0,0,0,Aaron Nesmith,IND,IND,OKC,7:11 PM
2MI,1,11:25,0,0,0,Myles Turner,IND,IND,OKC,7:12 PM
OR,1,11:22,0,0,0,Pascal Siakam,IND,IND,OKC,7:12 PM
2MA,1,11:16,0,2,2,Pascal Siakam,IND,IND,OKC,7:12 PM
FD,1,11:00,0,2,2,Chet Holmgren,OKC,IND,OKC,7:12 PM
FL,1,11:00,0,2,2,Myles Turner,IND,IND,OKC,7:12 PM
1MA,1,11:00,1,2,1,Chet Holmgren,OKC,IND,OKC,7:12 PM
1MA,1,11:00,2,2,TIE,Chet Holmgren,OKC,IND,OKC,7:13 PM
2MA,1,10:46,2,4,2,Pascal Siakam,IND,IND,OKC,7:13 PM
2MI,1,10:35,2,4,2,Isaiah Joe,OKC,IND,OKC,7:13 PM
TR,1,10:34,2,4,2,,,IND,OKC,7:13 PM
2MI,1,10:21,2,4,2,Pascal Siakam,IND,IND,OKC,7:14 PM
DR,1,10:17,2,4,2,Chet Holmgren,OKC,IND,OKC,7:14 PM
2MA,1,10:07,4,4,TIE,Josh Giddey,OKC,IND,OKC,7:14 PM
AS,1,9:53,4,7,3,Pascal Siakam,IND,IND,OKC,7:14 PM
3MA,1,9:53,4,7,3,Aaron Nesmith,IND,IND,OKC,7:14 PM
3MI,1,9:44,4,7,3,Chet Holmgren,OKC,IND,OKC,7:14 PM
DR,1,9:42,4,7,3,Aaron Nesmith,IND,IND,OKC,7:14 PM
3MI,1,9:30,4,7,3,Myles Turner,IND,IND,OKC,7:14 PM
DR,1,9:27,4,7,3,Josh Giddey,OKC,IND,OKC,7:14 PM
AS,1,9:15,6,7,1,Josh Giddey,OKC,IND,OKC,7:15 PM
2MA,1,9:15,6,7,1,Chet Holmgren,OKC,IND,OKC,7:15 PM
FD,1,9:07,6,7,1,Myles Turner,IND,IND,OKC,7:15 PM
FL,1,9:07,6,7,1,Chet Holmgren,OKC,IND,OKC,7:15 PM
1MA,1,9:07,6,8,2,Myles Turner,IND,IND,OKC,7:15 PM
1MA,1,9:07,6,9,3,Myles Turner,IND,IND,OKC,7:15 PM
2MA,1,8:54,8,9,1,Gordon Hayward,OKC,IND,OKC,7:16 PM
FD,1,8:54,8,9,1,Gordon Hayward,OKC,IND,OKC,7:16 PM
