event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Jaren Jackson Jr.,MEM,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Desmond Bane,MEM,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Santi Aldama,MEM,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,GG Jackson,MEM,MEM,OKC,8:11 PM
IN,1,12:00,0,0,0,Luke Kennard,MEM,MEM,OKC,8:11 PM
JM,1,12:00,0,0,0,Jaren Jackson Jr.,MEM,MEM,OKC,8:11 PM
AS,1,11:46,0,3,3,Luke Kennard,MEM,MEM,OKC,8:11 PM
3MA,1,11:46,0,3,3,Desmond Bane,MEM,MEM,OKC,8:11 PM
3MI,1,11:27,0,3,3,Luguentz Dort,OKC,MEM,OKC,8:11 PM
DR,1,11:24,0,3,3,Jaren Jackson Jr.,MEM,MEM,OKC,8:11 PM
ST,1,11:20,0,3,3,Chet Holmgren,OKC,MEM,OKC,8:12 PM
TO,1,11:20,0,3,3,Desmond Bane,MEM,MEM,OKC,8:12 PM
2MI,1,11:08,0,3,3,Shai Gilgeous-Alexander,OKC,MEM,OKC,8:12 PM
DR,1,11:05,0,3,3,Santi Aldama,MEM,MEM,OKC,8:12 PM
TO,1,10:59,0,3,3,Jaren Jackson Jr.,MEM,MEM,OKC,8:12 PM
TO,1,10:35,0,3,3,,,MEM,OKC,8:13 PM
AS,1,10:17,0,6,6,Desmond Bane,MEM,MEM,OKC,8:13 PM
3MA,1,10:17,0,6,6,Jaren Jackson Jr.,MEM,MEM,OKC,8:13 PM
AS,1,10:06,3,6,3,Jalen Williams,OKC,MEM,OKC,8:13 PM
3MA,1,10:06,3,6,3,Chet Holmgren,OKC,MEM,OKC,8:13 PM
AS,1,9:59,3,9,6,Desmond Bane,MEM,MEM,OKC,8:13 PM
3MA,1,9:59,3,9,6,Santi Aldama,MEM,MEM,OKC,8:13 PM
AS,1,9:45,6,9,3,Chet Holmgren,OKC,MEM,OKC,8:13 PM
3MA,1,9:45,6,9,3,Josh Giddey,OKC,MEM,OKC,8:13 PM
3MI,1,9:29,6,9,3,GG Jackson,MEM,MEM,OKC,8:14 PM
OR,1,9:25,6,9,3,Santi Aldama,MEM,MEM,OKC,8:14 PM
BL,1,9:25,6,9,3,Shai Gilgeous-Alexander,OKC,MEM,OKC,8:14 PM
2MI,1,9:25,6,9,3,Santi Aldama,MEM,MEM,OKC,8:14 PM
DR,1,9:22,6,9,3,Shai Gilgeous-Alexander,OKC,MEM,OKC,8:14 PM
AS,1,9:15,8,9,1,Jalen Williams,OKC,MEM,OKC,8:14 PM
2MA,1,9:15,8,9,1,Chet Holmgren,OKC,MEM,OKC,8:14 PM
3MI,1,9:01,8,9,1,Luke Kennard,MEM,MEM,OKC,8:14 PM
DR,1,8:59,8,9,1,Chet Holmgren,OKC,MEM,OKC,8:14 PM
3MI,1,8:43,8,9,1,Luguentz Dort,OKC,MEM,OKC,8:15 PM
TR,1,8:41,8,9,1,,,MEM,OKC,8:15 PM
BL,1,8:28,8,9,1,Chet Holmgren,OKC,MEM,OKC,8:15 PM
2MI,1,8:28,8,9,1,Desmond Bane,MEM,MEM,OKC,8:15 PM
DR,1,8:26,8,9,1,Chet Holmgren,OKC,MEM,OKC,8:15 PM
ST,1,8:21,8,9,1,Jaren Jackson Jr.,MEM,MEM,OKC,8:15 PM
TO,1,8:21,8,9,1,Chet Holmgren,OKC,MEM,OKC,8:15 PM
BL,1,8:15,8,9,1,Jalen Williams,OKC,MEM,OKC,8:15 PM
2MI,1,8:15,8,9,1,GG Jackson,MEM,MEM,OKC,8:15 PM
DR,1,8:12,8,9,1,Josh Giddey,OKC,MEM,OKC,8:15 PM
3MI,1,8:08,8,9,1,Josh Giddey,OKC,MEM,OKC,8:16 PM
DR,1,8:05,8,9,1,Santi Aldama,MEM,MEM,OKC,8:16 PM
2MI,1,7:55,8,9,1,Desmond Bane,MEM,MEM,OKC,8:16 PM
DR,1,7:52,8,9,1,Jalen Williams,OKC,MEM,OKC,8:16 PM
3MI,1,7:45,8,9,1,Josh Giddey,OKC,MEM,OKC,8:16 PM
OR,1,7:44,8,9,1,Josh Giddey,OKC,MEM,OKC,8:16 PM
3MI,1,7:40,8,9,1,Josh Giddey,OKC,MEM,OKC,8:16 PM
DR,1,7:38,8,9,1,Luke Kennard,MEM,MEM,OKC,8:16 PM
AS,1,7:31,8,11,3,Luke Kennard,MEM,MEM,OKC,8:16 PM
2MA,1,7:31,8,11,3,Jaren Jackson Jr.,MEM,MEM,OKC,8:16 PM
FD,1,7:12,8,11,3,Chet Holmgren,OKC,MEM,OKC,8:17 PM
FL,1,7:12,8,11,3,Luke Kennard,MEM,MEM,OKC,8:17 PM
2MA,1,7:06,10,11,1,Jalen Williams,OKC,MEM,OKC,8:17 PM
3MI,1,6:51,10,11,1,GG Jackson,MEM,MEM,OKC,8:17 PM
DR,1,6:48,10,11,1,Josh Giddey,OKC,MEM,OKC,8:17 PM
OT,1,6:43,10,11,1,Desmond Bane,MEM,MEM,OKC,8:17 PM
IN,1,6:43,10,11,1,John Konchar,MEM,MEM,OKC,8:17 PM
2MA,1,6:43,12,11,-1,Josh Giddey,OKC,MEM,OKC,8:17 PM
TM,1,6:43,12,11,-1,,,MEM,OKC,8:17 PM
3MI,1,6:23,12,11,-1,Santi Aldama,MEM,MEM,OKC,8:21 PM
OR,1,6:19,12,11,-1,GG Jackson,MEM,MEM,OKC,8:21 PM
AS,1,6:17,12,13,1,GG Jackson,MEM,MEM,OKC,8:21 PM
2MA,1,6:17,12,13,1,Santi Aldama,MEM,MEM,OKC,8:21 PM
AS,1,5:58,14,13,-1,Jalen Williams,OKC,MEM,OKC,8:21 PM
2MA,1,5:58,14,13,-1,Chet Holmgren,OKC,MEM,OKC,8:21 PM
OT,1,5:40,14,13,-1,Luguentz Dort,OKC,MEM,OKC,8:21 PM
OT,1,5:40,14,13,-1,Josh Giddey,OKC,MEM,OKC,8:21 PM
IN,1,5:40,14,13,-1,Isaiah Joe,OKC,MEM,OKC,8:21 PM
IN,1,5:40,14,13,-1,Gordon Hayward,OKC,MEM,OKC,8:21 PM
OT,1,5:40,14,13,-1,Jaren Jackson Jr.,MEM,MEM,OKC,8:21 PM
OT,1,5:40,14,13,-1,Luke Kennard,MEM,MEM,OKC,8:21 PM
IN,1,5:40,14,13,-1,Jake LaRavia,MEM,MEM,OKC,8:21 PM
IN,1,5:40,14,13,-1,Wenyen Gabriel,MEM,MEM,OKC,8:21 PM
AS,1,5:40,14,15,1,John Konchar,MEM,MEM,OKC,8:21 PM
2MA,1,5:40,14,15,1,Santi Aldama,MEM,MEM,OKC,8:21 PM
FD,1,5:40,14,15,1,Santi Aldama,MEM,MEM,OKC,8:22 PM
FL,1,5:40,14,15,1,Shai Gilgeous-Alexander,OKC,MEM,OKC,8:22 PM
1MI,1,5:40,14,15,1,Santi Aldama,MEM,MEM,OKC,8:22 PM
DR,1,5:36,14,15,1,Jalen Williams,OKC,MEM,OKC,8:22 PM
2MA,1,5:32,16,15,-1,Jalen Williams,OKC,MEM,OKC,8:22 PM
3MI,1,5:14,16,15,-1,GG Jackson,MEM,MEM,OKC,8:22 PM
OT,1,5:10,16,15,-1,Chet Holmgren,OKC,MEM,OKC,8:22 PM
OT,1,5:10,16,15,-1,Jalen Williams,OKC,MEM,OKC,8:22 PM
