event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Jonas Valančiūnas,NOP,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Zion Williamson,NOP,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Herbert Jones,NOP,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,CJ McCollum,NOP,NOP,OKC,8:11 PM
IN,1,12:00,0,0,0,Trey Murphy III,NOP,NOP,OKC,8:11 PM
JM,1,12:00,0,0,0,Jonas Valančiūnas,NOP,NOP,OKC,8:11 PM
3MI,1,11:42,0,0,0,Chet Holmgren,OKC,NOP,OKC,8:11 PM
OR,1,11:39,0,0,0,Josh Giddey,OKC,NOP,OKC,8:11 PM
2MA,1,11:38,2,0,-2,Josh Giddey,OKC,NOP,OKC,8:11 PM
AS,1,11:23,2,2,TIE,Herbert Jones,NOP,NOP,OKC,8:11 PM
2MA,1,11:23,2,2,TIE,Zion Williamson,NOP,NOP,OKC,8:11 PM
AS,1,11:05,5,2,-3,Luguentz Dort,OKC,NOP,OKC,8:12 PM
3MA,1,11:05,5,2,-3,Josh Giddey,OKC,NOP,OKC,8:12 PM
2MI,1,10:56,5,2,-3,Herbert Jones,NOP,NOP,OKC,8:12 PM
DR,1,10:51,5,2,-3,Josh Giddey,OKC,NOP,OKC,8:12 PM
2MI,1,10:43,5,2,-3,Chet Holmgren,OKC,NOP,OKC,8:12 PM
DR,1,10:41,5,2,-3,Jonas Valančiūnas,NOP,NOP,OKC,8:12 PM
2MI,1,10:37,5,2,-3,CJ McCollum,NOP,NOP,OKC,8:12 PM
DR,1,10:35,5,2,-3,Josh Giddey,OKC,NOP,OKC,8:12 PM
AS,1,10:26,8,2,-6,Chet Holmgren,OKC,NOP,OKC,8:12 PM
3MA,1,10:26,8,2,-6,Josh Giddey,OKC,NOP,OKC,8:12 PM
3MI,1,10:09,8,2,-6,Herbert Jones,NOP,NOP,OKC,8:13 PM
OR,1,10:06,8,2,-6,Jonas Valančiūnas,NOP,NOP,OKC,8:13 PM
2MA,1,10:05,8,4,-4,Jonas Valančiūnas,NOP,NOP,OKC,8:13 PM
3MI,1,9:53,8,4,-4,Luguentz Dort,OKC,NOP,OKC,8:13 PM
