event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Isaiah Hartenstein,NYK,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Jalen Brunson,NYK,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Miles McBride,NYK,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Josh Hart,NYK,NYK,OKC,7:12 PM
IN,1,12:00,0,0,0,Donte DiVincenzo,NYK,NYK,OKC,7:12 PM
JM,1,12:00,0,0,0,Isaiah Hartenstein,NYK,NYK,OKC,7:12 PM
AS,1,11:39,2,0,-2,Luguentz Dort,OKC,NYK,OKC,7:13 PM
2MA,1,11:39,2,0,-2,Josh Giddey,OKC,NYK,OKC,7:13 PM
AS,1,11:24,2,3,1,Josh Hart,NYK,NYK,OKC,7:13 PM
3MA,1,11:24,2,3,1,Jalen Brunson,NYK,NYK,OKC,7:13 PM
2MI,1,11:12,2,3,1,Josh Giddey,OKC,NYK,OKC,7:13 PM
DR,1,11:10,2,3,1,Miles McBride,NYK,NYK,OKC,7:13 PM
AS,1,10:57,2,5,3,Jalen Brunson,NYK,NYK,OKC,7:13 PM
2MA,1,10:57,2,5,3,Josh Hart,NYK,NYK,OKC,7:13 PM
3MI,1,10:46,2,5,3,Luguentz Dort,OKC,NYK,OKC,7:14 PM
DR,1,10:44,2,5,3,Josh Hart,NYK,NYK,OKC,7:14 PM
3MI,1,10:32,2,5,3,Donte DiVincenzo,NYK,NYK,OKC,7:14 PM
DR,1,10:30,2,5,3,Josh Giddey,OKC,NYK,OKC,7:14 PM
AS,1,10:24,5,5,TIE,Josh Giddey,OKC,NYK,OKC,7:14 PM
3MA,1,10:24,5,5,TIE,Luguentz Dort,OKC,NYK,OKC,7:14 PM
BL,1,9:58,5,5,TIE,Josh Giddey,OKC,NYK,OKC,7:14 PM
3MI,1,9:58,5,5,TIE,Miles McBride,NYK,NYK,OKC,7:14 PM
TR,1,9:54,5,5,TIE,,,NYK,OKC,7:14 PM
TO,1,9:54,5,5,TIE,,,NYK,OKC,7:15 PM
3MI,1,9:31,5,5,TIE,Jalen Williams,OKC,NYK,OKC,7:15 PM
DR,1,9:29,5,5,TIE,Isaiah Hartenstein,NYK,NYK,OKC,7:15 PM
2MI,1,9:23,5,5,TIE,Josh Hart,NYK,NYK,OKC,7:15 PM
OR,1,9:21,5,5,TIE,Isaiah Hartenstein,NYK,NYK,OKC,7:15 PM
2MA,1,9:21,5,7,2,Isaiah Hartenstein,NYK,NYK,OKC,7:15 PM
AS,1,9:09,8,7,-1,Jalen Williams,OKC,NYK,OKC,7:16 PM
3MA,1,9:09,8,7,-1,Chet Holmgren,OKC,NYK,OKC,7:16 PM
BL,1,8:47,8,7,-1,Josh Giddey,OKC,NYK,OKC,7:16 PM
2MI,1,8:47,8,7,-1,Isaiah Hartenstein,NYK,NYK,OKC,7:16 PM
DR,1,8:45,8,7,-1,Josh Giddey,OKC,NYK,OKC,7:16 PM
2MI,1,8:40,8,7,-1,Josh Giddey,OKC,NYK,OKC,7:16 PM
DR,1,8:38,8,7,-1,Josh Hart,NYK,NYK,OKC,7:16 PM
3MI,1,8:19,8,7,-1,Donte DiVincenzo,NYK,NYK,OKC,7:17 PM
DR,1,8:17,8,7,-1,Josh Giddey,OKC,NYK,OKC,7:17 PM
2MA,1,8:07,10,7,-3,Shai Gilgeous-Alexander,OKC,NYK,OKC,7:17 PM
2MI,1,7:47,10,7,-3,Jalen Brunson,NYK,NYK,OKC,7:17 PM
