event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Jaylin Williams,OKC,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Aaron Wiggins,OKC,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Joel Embiid,PHI,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Kelly Oubre Jr.,PHI,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Kyle Lowry,PHI,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Tobias Harris,PHI,PHI,OKC,7:36 PM
IN,1,12:00,0,0,0,Cameron Payne,PHI,PHI,OKC,7:36 PM
JM,1,12:00,0,0,0,Joel Embiid,PHI,PHI,OKC,7:36 PM
2MI,1,11:40,0,0,0,Kelly Oubre Jr.,PHI,PHI,OKC,7:37 PM
DR,1,11:37,0,0,0,Luguentz Dort,OKC,PHI,OKC,7:37 PM
FD,1,11:26,0,0,0,Luguentz Dort,OKC,PHI,OKC,7:37 PM
FL,1,11:26,0,0,0,Kyle Lowry,PHI,PHI,OKC,7:37 PM
AS,1,11:19,3,0,-3,Jaylin Williams,OKC,PHI,OKC,7:37 PM
3MA,1,11:19,3,0,-3,Chet Holmgren,OKC,PHI,OKC,7:37 PM
FD,1,11:04,3,0,-3,Aaron Wiggins,OKC,PHI,OKC,7:38 PM
FL,1,11:04,3,0,-3,Joel Embiid,PHI,PHI,OKC,7:38 PM
TO,1,11:04,3,0,-3,Joel Embiid,PHI,PHI,OKC,7:38 PM
TM,1,11:04,3,0,-3,,,PHI,OKC,7:38 PM
RP,1,11:04,3,0,-3,Clyde Drexler,,PHI,OKC,7:38 PM
AS,1,10:47,5,0,-5,Jaylin Williams,OKC,PHI,OKC,7:42 PM
2MA,1,10:47,5,0,-5,Chet Holmgren,OKC,PHI,OKC,7:42 PM
AS,1,10:37,5,3,-2,Joel Embiid,PHI,PHI,OKC,7:42 PM
3MA,1,10:37,5,3,-2,Tobias Harris,PHI,PHI,OKC,7:42 PM
AS,1,10:12,7,3,-4,Chet Holmgren,OKC,PHI,OKC,7:42 PM
2MA,1,10:12,7,3,-4,Josh Giddey,OKC,PHI,OKC,7:42 PM
2MI,1,10:00,7,3,-4,Cameron Payne,PHI,PHI,OKC,7:42 PM
DR,1,9:56,7,3,-4,Jaylin Williams,OKC,PHI,OKC,7:42 PM
ST,1,9:45,7,3,-4,Joel Embiid,PHI,PHI,OKC,7:43 PM
TO,1,9:45,7,3,-4,Josh Giddey,OKC,PHI,OKC,7:43 PM
ST,1,9:40,7,3,-4,Aaron Wiggins,OKC,PHI,OKC,7:43 PM
TO,1,9:40,7,3,-4,Joel Embiid,PHI,PHI,OKC,7:43 PM
AS,1,9:36,9,3,-6,Jaylin Williams,OKC,PHI,OKC,7:43 PM
2MA,1,9:36,9,3,-6,Aaron Wiggins,OKC,PHI,OKC,7:43 PM
2MI,1,9:23,9,3,-6,Tobias Harris,PHI,PHI,OKC,7:43 PM
DR,1,9:19,9,3,-6,Aaron Wiggins,OKC,PHI,OKC,7:43 PM
3MI,1,9:13,9,3,-6,Jaylin Williams,OKC,PHI,OKC,7:43 PM
TR,1,9:11,9,3,-6,,,PHI,OKC,7:44 PM
FD,1,9:11,9,3,-6,Kelly Oubre Jr.,PHI,PHI,OKC,7:44 PM
FL,1,9:11,9,3,-6,Josh Giddey,OKC,PHI,OKC,7:44 PM
2MA,1,8:56,9,5,-4,Joel Embiid,PHI,PHI,OKC,7:44 PM
AS,1,8:40,11,5,-6,Jaylin Williams,OKC,PHI,OKC,7:44 PM
2MA,1,8:40,11,5,-6,Josh Giddey,OKC,PHI,OKC,7:44 PM
3MI,1,8:31,11,5,-6,Joel Embiid,PHI,PHI,OKC,7:44 PM
OR,1,8:28,11,5,-6,Cameron Payne,PHI,PHI,OKC,7:44 PM
2MI,1,8:24,11,5,-6,Tobias Harris,PHI,PHI,OKC,7:45 PM
DR,1,8:21,11,5,-6,Jaylin Williams,OKC,PHI,OKC,7:45 PM
2MI,1,8:14,11,5,-6,Luguentz Dort,OKC,PHI,OKC,7:45 PM
DR,1,8:12,11,5,-6,Cameron Payne,PHI,PHI,OKC,7:45 PM
AS,1,8:09,11,8,-3,Cameron Payne,PHI,PHI,OKC,7:45 PM
3MA,1,8:09,11,8,-3,Tobias Harris,PHI,PHI,OKC,7:45 PM
