event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Aaron Wiggins,OKC,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Kevin Durant,PHX,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Jusuf Nurkić,PHX,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Bradley Beal,PHX,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Grayson Allen,PHX,OKC,PHX,8:11 PM
IN,1,12:00,0,0,0,Devin Booker,PHX,OKC,PHX,8:11 PM
JM,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,PHX,8:11 PM
AS,1,11:50,3,0,-3,Devin Booker,PHX,OKC,PHX,8:11 PM
3MA,1,11:50,3,0,-3,Kevin Durant,PHX,OKC,PHX,8:11 PM
2MA,1,11:31,3,2,-1,Chet Holmgren,OKC,OKC,PHX,8:12 PM
BL,1,11:10,3,2,-1,Josh Giddey,OKC,OKC,PHX,8:12 PM
2MI,1,11:10,3,2,-1,Jusuf Nurkić,PHX,OKC,PHX,8:12 PM
TR,1,11:10,3,2,-1,,,OKC,PHX,8:12 PM
2MA,1,11:01,3,4,1,Josh Giddey,OKC,OKC,PHX,8:12 PM
3MI,1,10:41,3,4,1,Bradley Beal,PHX,OKC,PHX,8:13 PM
DR,1,10:38,3,4,1,Josh Giddey,OKC,OKC,PHX,8:13 PM
BL,1,10:33,3,4,1,Jusuf Nurkić,PHX,OKC,PHX,8:13 PM
2MI,1,10:33,3,4,1,Josh Giddey,OKC,OKC,PHX,8:13 PM
OR,1,10:30,3,4,1,Aaron Wiggins,OKC,OKC,PHX,8:13 PM
AS,1,10:27,3,6,3,Aaron Wiggins,OKC,OKC,PHX,8:13 PM
2MA,1,10:27,3,6,3,Chet Holmgren,OKC,OKC,PHX,8:13 PM
AS,1,10:20,6,6,TIE,Devin Booker,PHX,OKC,PHX,8:13 PM
3MA,1,10:20,6,6,TIE,Grayson Allen,PHX,OKC,PHX,8:13 PM
3MI,1,10:04,6,6,TIE,Josh Giddey,OKC,OKC,PHX,8:13 PM
DR,1,10:02,6,6,TIE,Devin Booker,PHX,OKC,PHX,8:13 PM
