event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,De'Aaron Fox,SAC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Keegan Murray,SAC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Domantas Sabonis,SAC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Keon Ellis,SAC,OKC,SAC,8:11 PM
IN,1,12:00,0,0,0,Harrison Barnes,SAC,OKC,SAC,8:11 PM
JM,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,SAC,8:11 PM
AS,1,11:45,3,0,-3,Keon Ellis,SAC,OKC,SAC,8:11 PM
3MA,1,11:45,3,0,-3,De'Aaron Fox,SAC,OKC,SAC,8:11 PM
AS,1,11:19,3,2,-1,Josh Giddey,OKC,OKC,SAC,8:11 PM
2MA,1,11:19,3,2,-1,Luguentz Dort,OKC,OKC,SAC,8:11 PM
3MI,1,10:58,3,2,-1,Keegan Murray,SAC,OKC,SAC,8:12 PM
OR,1,10:56,3,2,-1,Domantas Sabonis,SAC,OKC,SAC,8:12 PM
AS,1,10:54,6,2,-4,Domantas Sabonis,SAC,OKC,SAC,8:12 PM
3MA,1,10:54,6,2,-4,De'Aaron Fox,SAC,OKC,SAC,8:12 PM
2MA,1,10:36,6,4,-2,Shai Gilgeous-Alexander,OKC,OKC,SAC,8:12 PM
FD,1,10:21,6,4,-2,Keegan Murray,SAC,OKC,SAC,8:12 PM
FL,1,10:21,6,4,-2,Josh Giddey,OKC,OKC,SAC,8:12 PM
1MA,1,10:21,7,4,-3,Keegan Murray,SAC,OKC,SAC,8:13 PM
1MA,1,10:21,8,4,-4,Keegan Murray,SAC,OKC,SAC,8:13 PM
2MA,1,10:10,8,6,-2,Josh Giddey,OKC,OKC,SAC,8:13 PM
3MI,1,9:56,8,6,-2,De'Aaron Fox,SAC,OKC,SAC,8:14 PM
DR,1,9:54,8,6,-2,Josh Giddey,OKC,OKC,SAC,8:14 PM
FD,1,9:45,8,6,-2,Shai Gilgeous-Alexander,OKC,OKC,SAC,8:14 PM
FL,1,9:45,8,6,-2,Domantas Sabonis,SAC,OKC,SAC,8:14 PM
1MA,1,9:45,8,7,-1,Shai Gilgeous-Alexander,OKC,OKC,SAC,8:14 PM
1MA,1,9:45,8,8,TIE,Shai Gilgeous-Alexander,OKC,OKC,SAC,8:14 PM
AS,1,9:27,11,8,-3,Keegan Murray,SAC,OKC,SAC,8:15 PM
3MA,1,9:27,11,8,-3,Keon Ellis,SAC,OKC,SAC,8:15 PM
3MI,1,9:19,11,8,-3,Luguentz Dort,OKC,OKC,SAC,8:15 PM
DR,1,9:16,11,8,-3,Keegan Murray,SAC,OKC,SAC,8:15 PM
2MI,1,9:11,11,8,-3,Keegan Murray,SAC,OKC,SAC,8:15 PM
OR,1,9:08,11,8,-3,Domantas Sabonis,SAC,OKC,SAC,8:15 PM
BL,1,9:08,11,8,-3,Chet Holmgren,OKC,OKC,SAC,8:15 PM
2MI,1,9:08,11,8,-3,Domantas Sabonis,SAC,OKC,SAC,8:15 PM
TR,1,9:08,11,8,-3,,,OKC,SAC,8:15 PM
AS,1,8:57,11,11,TIE,Shai Gilgeous-Alexander,OKC,OKC,SAC,8:15 PM
3MA,1,8:57,11,11,TIE,Luguentz Dort,OKC,OKC,SAC,8:15 PM
ST,1,8:39,11,11,TIE,Luguentz Dort,OKC,OKC,SAC,8:16 PM
TO,1,8:39,11,11,TIE,Domantas Sabonis,SAC,OKC,SAC,8:16 PM
ST,1,8:34,11,11,TIE,De'Aaron Fox,SAC,OKC,SAC,8:16 PM
TO,1,8:34,11,11,TIE,Josh Giddey,OKC,OKC,SAC,8:16 PM
AS,1,8:29,14,11,-3,Keegan Murray,SAC,OKC,SAC,8:16 PM
3MA,1,8:29,14,11,-3,Keon Ellis,SAC,OKC,SAC,8:16 PM
3MI,1,8:03,14,11,-3,Chet Holmgren,OKC,OKC,SAC,8:16 PM
DR,1,8:01,14,11,-3,De'Aaron Fox,SAC,OKC,SAC,8:16 PM
3MI,1,7:54,14,11,-3,Harrison Barnes,SAC,OKC,SAC,8:16 PM
