event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Cason Wallace,OKC,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Zach Collins,SAS,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Tre Jones,SAS,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Sandro Mamukelashvili,SAS,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Julian Champagnie,SAS,OKC,SAS,8:11 PM
IN,1,12:00,0,0,0,Malaki Branham,SAS,OKC,SAS,8:11 PM
JM,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,SAS,8:11 PM
AS,1,11:45,0,2,2,Josh Giddey,OKC,OKC,SAS,8:11 PM
2MA,1,11:45,0,2,2,Shai Gilgeous-Alexander,OKC,OKC,SAS,8:11 PM
2MI,1,11:28,0,2,2,Zach Collins,SAS,OKC,SAS,8:11 PM
DR,1,11:24,0,2,2,Josh Giddey,OKC,OKC,SAS,8:12 PM
BL,1,11:19,0,2,2,Julian Champagnie,SAS,OKC,SAS,8:12 PM
2MI,1,11:19,0,2,2,Shai Gilgeous-Alexander,OKC,OKC,SAS,8:12 PM
DR,1,11:16,0,2,2,Tre Jones,SAS,OKC,SAS,8:12 PM
2MI,1,11:07,0,2,2,Tre Jones,SAS,OKC,SAS,8:12 PM
DR,1,11:05,0,2,2,Chet Holmgren,OKC,OKC,SAS,8:12 PM
AS,1,10:58,0,5,5,Josh Giddey,OKC,OKC,SAS,8:12 PM
3MA,1,10:58,0,5,5,Chet Holmgren,OKC,OKC,SAS,8:12 PM
2MI,1,10:37,0,5,5,Zach Collins,SAS,OKC,SAS,8:12 PM
DR,1,10:34,0,5,5,Josh Giddey,OKC,OKC,SAS,8:12 PM
2MI,1,10:28,0,5,5,Chet Holmgren,OKC,OKC,SAS,8:12 PM
DR,1,10:25,0,5,5,Zach Collins,SAS,OKC,SAS,8:13 PM
2MI,1,10:19,0,5,5,Sandro Mamukelashvili,SAS,OKC,SAS,8:13 PM
DR,1,10:16,0,5,5,Chet Holmgren,OKC,OKC,SAS,8:13 PM
AS,1,10:10,0,7,7,Shai Gilgeous-Alexander,OKC,OKC,SAS,8:13 PM
2MA,1,10:10,0,7,7,Josh Giddey,OKC,OKC,SAS,8:13 PM
