event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Kelly Olynyk,TOR,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Ochai Agbaji,TOR,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Javon Freeman-Liberty,TOR,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Bruce Brown,TOR,TOR,OKC,7:11 PM
IN,1,12:00,0,0,0,Gradey Dick,TOR,TOR,OKC,7:11 PM
JM,1,12:00,0,0,0,Kelly Olynyk,TOR,TOR,OKC,7:11 PM
AS,1,11:41,0,2,2,Ochai Agbaji,TOR,TOR,OKC,7:11 PM
2MA,1,11:41,0,2,2,Kelly Olynyk,TOR,TOR,OKC,7:11 PM
3MI,1,11:18,0,2,2,Chet Holmgren,OKC,TOR,OKC,7:12 PM
DR,1,11:15,0,2,2,Ochai Agbaji,TOR,TOR,OKC,7:12 PM
AS,1,11:04,0,4,4,Bruce Brown,TOR,TOR,OKC,7:12 PM
2MA,1,11:04,0,4,4,Kelly Olynyk,TOR,TOR,OKC,7:12 PM
FD,1,11:04,0,4,4,Kelly Olynyk,TOR,TOR,OKC,7:12 PM
FL,1,11:04,0,4,4,Josh Giddey,OKC,TOR,OKC,7:12 PM
1MA,1,11:04,0,5,5,Kelly Olynyk,TOR,TOR,OKC,7:12 PM
2MI,1,10:48,0,5,5,Jalen Williams,OKC,TOR,OKC,7:13 PM
DR,1,10:45,0,5,5,Ochai Agbaji,TOR,TOR,OKC,7:13 PM
FD,1,10:42,0,5,5,Javon Freeman-Liberty,TOR,TOR,OKC,7:13 PM
FL,1,10:42,0,5,5,Josh Giddey,OKC,TOR,OKC,7:13 PM
1MA,1,10:42,0,6,6,Javon Freeman-Liberty,TOR,TOR,OKC,7:13 PM
1MA,1,10:42,0,7,7,Javon Freeman-Liberty,TOR,TOR,OKC,7:13 PM
2MA,1,10:33,2,7,5,Josh Giddey,OKC,TOR,OKC,7:14 PM
FD,1,10:33,2,7,5,Josh Giddey,OKC,TOR,OKC,7:14 PM
FL,1,10:33,2,7,5,Bruce Brown,TOR,TOR,OKC,7:14 PM
1MA,1,10:33,3,7,4,Josh Giddey,OKC,TOR,OKC,7:14 PM
2MI,1,10:19,3,7,4,Ochai Agbaji,TOR,TOR,OKC,7:14 PM
DR,1,10:17,3,7,4,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:14 PM
2MI,1,10:12,3,7,4,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:14 PM
DR,1,10:09,3,7,4,Bruce Brown,TOR,TOR,OKC,7:14 PM
2MA,1,10:04,3,9,6,Bruce Brown,TOR,TOR,OKC,7:15 PM
TM,1,10:04,3,9,6,,,TOR,OKC,7:15 PM
3MI,1,9:43,3,9,6,Josh Giddey,OKC,TOR,OKC,7:18 PM
OR,1,9:40,3,9,6,Chet Holmgren,OKC,TOR,OKC,7:18 PM
2MA,1,9:39,5,9,4,Chet Holmgren,OKC,TOR,OKC,7:18 PM
3MI,1,9:14,5,9,4,Ochai Agbaji,TOR,TOR,OKC,7:18 PM
DR,1,9:12,5,9,4,Luguentz Dort,OKC,TOR,OKC,7:18 PM
3MI,1,9:03,5,9,4,Chet Holmgren,OKC,TOR,OKC,7:18 PM
DR,1,9:01,5,9,4,Gradey Dick,TOR,TOR,OKC,7:18 PM
3MI,1,8:51,5,9,4,Javon Freeman-Liberty,TOR,TOR,OKC,7:19 PM
DR,1,8:48,5,9,4,Chet Holmgren,OKC,TOR,OKC,7:19 PM
TO,1,8:32,5,9,4,Jalen Williams,OKC,TOR,OKC,7:19 PM
FD,1,8:32,5,9,4,Gradey Dick,TOR,TOR,OKC,7:19 PM
FL,1,8:32,5,9,4,Chet Holmgren,OKC,TOR,OKC,7:19 PM
ST,1,8:08,5,9,4,Chet Holmgren,OKC,TOR,OKC,7:20 PM
TO,1,8:08,5,9,4,Kelly Olynyk,TOR,TOR,OKC,7:20 PM
AS,1,7:59,7,9,2,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:20 PM
2MA,1,7:59,7,9,2,Chet Holmgren,OKC,TOR,OKC,7:20 PM
3MI,1,7:47,7,9,2,Gradey Dick,TOR,TOR,OKC,7:20 PM
OR,1,7:44,7,9,2,Ochai Agbaji,TOR,TOR,OKC,7:20 PM
AS,1,7:40,7,11,4,Ochai Agbaji,TOR,TOR,OKC,7:20 PM
2MA,1,7:40,7,11,4,Gradey Dick,TOR,TOR,OKC,7:20 PM
3MI,1,7:22,7,11,4,Luguentz Dort,OKC,TOR,OKC,7:20 PM
TR,1,7:21,7,11,4,,,TOR,OKC,7:20 PM
AS,1,7:13,9,11,2,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:21 PM
2MA,1,7:13,9,11,2,Chet Holmgren,OKC,TOR,OKC,7:21 PM
AS,1,6:53,9,14,5,Javon Freeman-Liberty,TOR,TOR,OKC,7:21 PM
3MA,1,6:53,9,14,5,Gradey Dick,TOR,TOR,OKC,7:21 PM
2MI,1,6:39,9,14,5,Jalen Williams,OKC,TOR,OKC,7:21 PM
DR,1,6:36,9,14,5,Kelly Olynyk,TOR,TOR,OKC,7:21 PM
AS,1,6:27,9,17,8,Gradey Dick,TOR,TOR,OKC,7:21 PM
3MA,1,6:27,9,17,8,Bruce Brown,TOR,TOR,OKC,7:21 PM
ST,1,6:14,9,17,8,Ochai Agbaji,TOR,TOR,OKC,7:22 PM
TO,1,6:14,9,17,8,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:22 PM
OT,1,6:11,9,17,8,Chet Holmgren,OKC,TOR,OKC,7:22 PM
OT,1,6:11,9,17,8,Josh Giddey,OKC,TOR,OKC,7:22 PM
OT,1,6:11,9,17,8,Jalen Williams,OKC,TOR,OKC,7:22 PM
IN,1,6:11,9,17,8,Kenrich Williams,OKC,TOR,OKC,7:22 PM
IN,1,6:11,9,17,8,Gordon Hayward,OKC,TOR,OKC,7:22 PM
IN,1,6:11,9,17,8,Isaiah Joe,OKC,TOR,OKC,7:22 PM
OT,1,6:11,9,17,8,Kelly Olynyk,TOR,TOR,OKC,7:22 PM
IN,1,6:11,9,17,8,Jontay Porter,TOR,TOR,OKC,7:22 PM
AS,1,6:11,9,19,10,Bruce Brown,TOR,TOR,OKC,7:22 PM
2MA,1,6:11,9,19,10,Gradey Dick,TOR,TOR,OKC,7:22 PM
FD,1,6:11,9,19,10,Gradey Dick,TOR,TOR,OKC,7:22 PM
FL,1,6:11,9,19,10,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:22 PM
1MA,1,6:11,9,20,11,Gradey Dick,TOR,TOR,OKC,7:23 PM
AS,1,5:56,12,20,8,Isaiah Joe,OKC,TOR,OKC,7:23 PM
3MA,1,5:56,12,20,8,Kenrich Williams,OKC,TOR,OKC,7:23 PM
ST,1,5:42,12,20,8,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:23 PM
TO,1,5:42,12,20,8,Jontay Porter,TOR,TOR,OKC,7:23 PM
2MI,1,5:37,12,20,8,Luguentz Dort,OKC,TOR,OKC,7:23 PM
OR,1,5:36,12,20,8,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:23 PM
AS,1,5:36,14,20,6,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:23 PM
2MA,1,5:36,14,20,6,Kenrich Williams,OKC,TOR,OKC,7:23 PM
TM,1,5:36,14,20,6,,,TOR,OKC,7:23 PM
AS,1,5:27,14,23,9,Bruce Brown,TOR,TOR,OKC,7:26 PM
3MA,1,5:27,14,23,9,Gradey Dick,TOR,TOR,OKC,7:26 PM
ST,1,5:12,14,23,9,Ochai Agbaji,TOR,TOR,OKC,7:26 PM
TO,1,5:12,14,23,9,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:26 PM
2MA,1,5:08,14,25,11,Javon Freeman-Liberty,TOR,TOR,OKC,7:26 PM
BL,1,4:56,14,25,11,Jontay Porter,TOR,TOR,OKC,7:27 PM
2MI,1,4:56,14,25,11,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:27 PM
DR,1,4:53,14,25,11,Javon Freeman-Liberty,TOR,TOR,OKC,7:27 PM
2MI,1,4:51,14,25,11,Javon Freeman-Liberty,TOR,TOR,OKC,7:27 PM
DR,1,4:47,14,25,11,Gordon Hayward,OKC,TOR,OKC,7:27 PM
ST,1,4:45,14,25,11,Jontay Porter,TOR,TOR,OKC,7:27 PM
TO,1,4:45,14,25,11,Luguentz Dort,OKC,TOR,OKC,7:27 PM
FD,1,4:41,14,25,11,Gradey Dick,TOR,TOR,OKC,7:27 PM
FL,1,4:41,14,25,11,Isaiah Joe,OKC,TOR,OKC,7:27 PM
1MI,1,4:41,14,25,11,Gradey Dick,TOR,TOR,OKC,7:28 PM
TR,1,4:41,14,25,11,,,TOR,OKC,7:28 PM
1MI,1,4:41,14,25,11,Gradey Dick,TOR,TOR,OKC,7:28 PM
DR,1,4:38,14,25,11,Gordon Hayward,OKC,TOR,OKC,7:28 PM
AS,1,4:24,16,25,9,Luguentz Dort,OKC,TOR,OKC,7:28 PM
2MA,1,4:24,16,25,9,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:28 PM
3MI,1,4:13,16,25,9,Gradey Dick,TOR,TOR,OKC,7:28 PM
DR,1,4:10,16,25,9,Isaiah Joe,OKC,TOR,OKC,7:28 PM
3MI,1,4:05,16,25,9,Luguentz Dort,OKC,TOR,OKC,7:29 PM
DR,1,4:03,16,25,9,Gradey Dick,TOR,TOR,OKC,7:29 PM
OT,1,3:49,16,25,9,Luguentz Dort,OKC,TOR,OKC,7:29 PM
IN,1,3:49,16,25,9,Cason Wallace,OKC,TOR,OKC,7:29 PM
OT,1,3:49,16,25,9,Javon Freeman-Liberty,TOR,TOR,OKC,7:29 PM
OT,1,3:49,16,25,9,Gradey Dick,TOR,TOR,OKC,7:29 PM
IN,1,3:49,16,25,9,Jahmi'us Ramsey,TOR,TOR,OKC,7:29 PM
IN,1,3:49,16,25,9,Jordan Nwora,TOR,TOR,OKC,7:29 PM
FD,1,3:49,16,25,9,Ochai Agbaji,TOR,TOR,OKC,7:29 PM
FL,1,3:49,16,25,9,Isaiah Joe,OKC,TOR,OKC,7:29 PM
1MA,1,3:49,16,26,10,Ochai Agbaji,TOR,TOR,OKC,7:29 PM
1MI,1,3:49,16,26,10,Ochai Agbaji,TOR,TOR,OKC,7:29 PM
DR,1,3:46,16,26,10,Gordon Hayward,OKC,TOR,OKC,7:29 PM
FD,1,3:29,16,26,10,Isaiah Joe,OKC,TOR,OKC,7:30 PM
FL,1,3:29,16,26,10,Jahmi'us Ramsey,TOR,TOR,OKC,7:30 PM
1MA,1,3:29,17,26,9,Isaiah Joe,OKC,TOR,OKC,7:30 PM
1MA,1,3:29,18,26,8,Isaiah Joe,OKC,TOR,OKC,7:31 PM
1MA,1,3:29,19,26,7,Isaiah Joe,OKC,TOR,OKC,7:31 PM
ST,1,3:14,19,26,7,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:31 PM
TO,1,3:14,19,26,7,Jordan Nwora,TOR,TOR,OKC,7:31 PM
2MA,1,3:09,21,26,5,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:31 PM
AS,1,2:58,21,28,7,Jontay Porter,TOR,TOR,OKC,7:31 PM
2MA,1,2:58,21,28,7,Bruce Brown,TOR,TOR,OKC,7:31 PM
OT,1,2:43,21,28,7,Bruce Brown,TOR,TOR,OKC,7:31 PM
IN,1,2:43,21,28,7,Jalen McDaniels,TOR,TOR,OKC,7:31 PM
FD,1,2:43,21,28,7,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:32 PM
FL,1,2:43,21,28,7,Jordan Nwora,TOR,TOR,OKC,7:32 PM
1MA,1,2:43,22,28,6,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:32 PM
1MA,1,2:43,23,28,5,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:32 PM
3MI,1,2:20,23,28,5,Jahmi'us Ramsey,TOR,TOR,OKC,7:33 PM
DR,1,2:17,23,28,5,Kenrich Williams,OKC,TOR,OKC,7:33 PM
AS,1,2:07,26,28,2,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:33 PM
3MA,1,2:07,26,28,2,Isaiah Joe,OKC,TOR,OKC,7:33 PM
AS,1,1:52,26,31,5,Jontay Porter,TOR,TOR,OKC,7:34 PM
3MA,1,1:52,26,31,5,Ochai Agbaji,TOR,TOR,OKC,7:34 PM
2MI,1,1:36,26,31,5,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:34 PM
OR,1,1:34,26,31,5,Cason Wallace,OKC,TOR,OKC,7:34 PM
OT,1,1:26,26,31,5,Ochai Agbaji,TOR,TOR,OKC,7:34 PM
IN,1,1:26,26,31,5,Gradey Dick,TOR,TOR,OKC,7:34 PM
FD,1,1:26,26,31,5,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:34 PM
FL,1,1:26,26,31,5,Jahmi'us Ramsey,TOR,TOR,OKC,7:34 PM
1MI,1,1:26,26,31,5,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:35 PM
TR,1,1:26,26,31,5,,,TOR,OKC,7:35 PM
1MI,1,1:26,26,31,5,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:35 PM
DR,1,1:24,26,31,5,Jordan Nwora,TOR,TOR,OKC,7:35 PM
AS,1,1:11,26,33,7,Jontay Porter,TOR,TOR,OKC,7:35 PM
2MA,1,1:11,26,33,7,Gradey Dick,TOR,TOR,OKC,7:35 PM
2MA,1,0:57,28,33,5,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:36 PM
3MI,1,0:37,28,33,5,Jordan Nwora,TOR,TOR,OKC,7:36 PM
DR,1,0:34,28,33,5,Kenrich Williams,OKC,TOR,OKC,7:36 PM
2MI,1,0:23,28,33,5,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:36 PM
DR,1,0:21,28,33,5,Gradey Dick,TOR,TOR,OKC,7:36 PM
2MA,1,0:03,28,35,7,Jahmi'us Ramsey,TOR,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Shai Gilgeous-Alexander,OKC,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Kenrich Williams,OKC,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Gordon Hayward,OKC,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Isaiah Joe,OKC,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Cason Wallace,OKC,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Gradey Dick,TOR,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Jontay Porter,TOR,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Jahmi'us Ramsey,TOR,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Jordan Nwora,TOR,TOR,OKC,7:36 PM
OT,1,0:00,28,35,7,Jalen McDaniels,TOR,TOR,OKC,7:36 PM
3MI,1,0:00,28,35,7,Kenrich Williams,OKC,TOR,OKC,7:37 PM
TR,1,0:00,28,35,7,,,TOR,OKC,7:37 PM
EP,1,0:00,28,35,7,,,TOR,OKC,7:37 PM
SP,2,12:00,28,35,7,,,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Chet Holmgren,OKC,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Josh Giddey,OKC,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Jalen Williams,OKC,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Cason Wallace,OKC,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Aaron Wiggins,OKC,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Gradey Dick,TOR,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Jontay Porter,TOR,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Jahmi'us Ramsey,TOR,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Jordan Nwora,TOR,TOR,OKC,7:39 PM
IN,2,12:00,28,35,7,Jalen McDaniels,TOR,TOR,OKC,7:39 PM
AS,2,11:43,30,35,5,Josh Giddey,OKC,TOR,OKC,7:40 PM
2MA,2,11:43,30,35,5,Jalen Williams,OKC,TOR,OKC,7:40 PM
TO,2,11:30,30,35,5,Jontay Porter,TOR,TOR,OKC,7:40 PM
AS,2,11:23,32,35,3,Josh Giddey,OKC,TOR,OKC,7:40 PM
2MA,2,11:23,32,35,3,Aaron Wiggins,OKC,TOR,OKC,7:40 PM
AS,2,11:09,32,37,5,Jahmi'us Ramsey,TOR,TOR,OKC,7:40 PM
2MA,2,11:09,32,37,5,Jontay Porter,TOR,TOR,OKC,7:40 PM
2MI,2,10:58,32,37,5,Josh Giddey,OKC,TOR,OKC,7:40 PM
