event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Kris Dunn,UTA,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Taylor Hendricks,UTA,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,John Collins,UTA,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Keyonte George,UTA,OKC,UTA,8:11 PM
IN,1,12:00,0,0,0,Brice Sensabaugh,UTA,OKC,UTA,8:11 PM
JM,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,UTA,8:11 PM
FD,1,11:55,0,0,0,Luguentz Dort,OKC,OKC,UTA,8:11 PM
FL,1,11:55,0,0,0,Kris Dunn,UTA,OKC,UTA,8:11 PM
1MA,1,11:55,0,1,1,Luguentz Dort,OKC,OKC,UTA,8:11 PM
1MA,1,11:55,0,2,2,Luguentz Dort,OKC,OKC,UTA,8:12 PM
FD,1,11:34,0,2,2,Taylor Hendricks,UTA,OKC,UTA,8:12 PM
FL,1,11:34,0,2,2,Josh Giddey,OKC,OKC,UTA,8:12 PM
1MA,1,11:34,1,2,1,Taylor Hendricks,UTA,OKC,UTA,8:13 PM
1MA,1,11:34,2,2,TIE,Taylor Hendricks,UTA,OKC,UTA,8:13 PM
AS,1,11:22,2,4,2,Josh Giddey,OKC,OKC,UTA,8:13 PM
2MA,1,11:22,2,4,2,Chet Holmgren,OKC,OKC,UTA,8:13 PM
BL,1,10:58,2,4,2,Chet Holmgren,OKC,OKC,UTA,8:13 PM
2MI,1,10:58,2,4,2,John Collins,UTA,OKC,UTA,8:13 PM
DR,1,10:56,2,4,2,Chet Holmgren,OKC,OKC,UTA,8:13 PM
2MI,1,10:51,2,4,2,Josh Giddey,OKC,OKC,UTA,8:14 PM
DR,1,10:50,2,4,2,John Collins,UTA,OKC,UTA,8:14 PM
3MI,1,10:44,2,4,2,Keyonte George,UTA,OKC,UTA,8:14 PM
OR,1,10:42,2,4,2,Taylor Hendricks,UTA,OKC,UTA,8:14 PM
2MI,1,10:38,2,4,2,Keyonte George,UTA,OKC,UTA,8:14 PM
DR,1,10:38,2,4,2,Chet Holmgren,OKC,OKC,UTA,8:14 PM
AS,1,10:30,2,6,4,Josh Giddey,OKC,OKC,UTA,8:14 PM
2MA,1,10:30,2,6,4,Jalen Williams,OKC,OKC,UTA,8:14 PM
AS,1,10:11,4,6,2,Kris Dunn,UTA,OKC,UTA,8:14 PM
2MA,1,10:11,4,6,2,Brice Sensabaugh,UTA,OKC,UTA,8:14 PM
3MI,1,10:01,4,6,2,Chet Holmgren,OKC,OKC,UTA,8:14 PM
DR,1,9:58,4,6,2,Keyonte George,UTA,OKC,UTA,8:14 PM
TO,1,9:52,4,6,2,John Collins,UTA,OKC,UTA,8:15 PM
BL,1,9:29,4,6,2,Taylor Hendricks,UTA,OKC,UTA,8:15 PM
2MI,1,9:29,4,6,2,Josh Giddey,OKC,OKC,UTA,8:15 PM
OR,1,9:24,4,6,2,Josh Giddey,OKC,OKC,UTA,8:15 PM
2MA,1,9:23,4,8,4,Josh Giddey,OKC,OKC,UTA,8:15 PM
2MI,1,9:13,4,8,4,Brice Sensabaugh,UTA,OKC,UTA,8:15 PM
DR,1,9:11,4,8,4,Josh Giddey,OKC,OKC,UTA,8:15 PM
AS,1,9:07,4,11,7,Josh Giddey,OKC,OKC,UTA,8:16 PM
3MA,1,9:07,4,11,7,Luguentz Dort,OKC,OKC,UTA,8:16 PM
3MI,1,8:52,4,11,7,Kris Dunn,UTA,OKC,UTA,8:16 PM
DR,1,8:50,4,11,7,Chet Holmgren,OKC,OKC,UTA,8:16 PM
2MI,1,8:44,4,11,7,Josh Giddey,OKC,OKC,UTA,8:16 PM
DR,1,8:42,4,11,7,Brice Sensabaugh,UTA,OKC,UTA,8:16 PM
2MA,1,8:26,6,11,5,Kris Dunn,UTA,OKC,UTA,8:16 PM
FD,1,8:16,6,11,5,Chet Holmgren,OKC,OKC,UTA,8:16 PM
FL,1,8:16,6,11,5,Taylor Hendricks,UTA,OKC,UTA,8:16 PM
1MA,1,8:16,6,12,6,Chet Holmgren,OKC,OKC,UTA,8:17 PM
1MA,1,8:16,6,13,7,Chet Holmgren,OKC,OKC,UTA,8:17 PM
FD,1,8:04,6,13,7,Keyonte George,UTA,OKC,UTA,8:17 PM
FL,1,8:04,6,13,7,Luguentz Dort,OKC,OKC,UTA,8:17 PM
2MA,1,7:57,8,13,5,Keyonte George,UTA,OKC,UTA,8:18 PM
AS,1,7:43,8,15,7,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:18 PM
2MA,1,7:43,8,15,7,Chet Holmgren,OKC,OKC,UTA,8:18 PM
ST,1,7:37,8,15,7,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:18 PM
TO,1,7:37,8,15,7,Brice Sensabaugh,UTA,OKC,UTA,8:18 PM
3MI,1,7:31,8,15,7,Luguentz Dort,OKC,OKC,UTA,8:18 PM
DR,1,7:28,8,15,7,Keyonte George,UTA,OKC,UTA,8:18 PM
3MI,1,7:22,8,15,7,Keyonte George,UTA,OKC,UTA,8:18 PM
DR,1,7:20,8,15,7,Josh Giddey,OKC,OKC,UTA,8:18 PM
ST,1,7:14,8,15,7,John Collins,UTA,OKC,UTA,8:19 PM
TO,1,7:14,8,15,7,Jalen Williams,OKC,OKC,UTA,8:19 PM
3MI,1,6:57,8,15,7,Brice Sensabaugh,UTA,OKC,UTA,8:19 PM
OR,1,6:54,8,15,7,Taylor Hendricks,UTA,OKC,UTA,8:19 PM
3MI,1,6:53,8,15,7,Keyonte George,UTA,OKC,UTA,8:19 PM
DR,1,6:53,8,15,7,Chet Holmgren,OKC,OKC,UTA,8:19 PM
OT,1,6:46,8,15,7,Brice Sensabaugh,UTA,OKC,UTA,8:19 PM
IN,1,6:46,8,15,7,Collin Sexton,UTA,OKC,UTA,8:19 PM
FD,1,6:46,8,15,7,Chet Holmgren,OKC,OKC,UTA,8:19 PM
FL,1,6:46,8,15,7,John Collins,UTA,OKC,UTA,8:19 PM
TM,1,6:46,8,15,7,,,OKC,UTA,8:19 PM
1MA,1,6:46,8,16,8,Chet Holmgren,OKC,OKC,UTA,8:22 PM
1MI,1,6:46,8,16,8,Chet Holmgren,OKC,OKC,UTA,8:22 PM
DR,1,6:43,8,16,8,John Collins,UTA,OKC,UTA,8:22 PM
2MI,1,6:32,8,16,8,John Collins,UTA,OKC,UTA,8:23 PM
DR,1,6:30,8,16,8,Chet Holmgren,OKC,OKC,UTA,8:23 PM
2MI,1,6:23,8,16,8,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:23 PM
OR,1,6:20,8,16,8,Luguentz Dort,OKC,OKC,UTA,8:23 PM
AS,1,6:12,8,18,10,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:23 PM
2MA,1,6:12,8,18,10,Chet Holmgren,OKC,OKC,UTA,8:23 PM
3MI,1,5:47,8,18,10,Taylor Hendricks,UTA,OKC,UTA,8:24 PM
DR,1,5:45,8,18,10,Chet Holmgren,OKC,OKC,UTA,8:24 PM
2MA,1,5:35,8,20,12,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:24 PM
AS,1,5:24,11,20,9,Collin Sexton,UTA,OKC,UTA,8:24 PM
3MA,1,5:24,11,20,9,John Collins,UTA,OKC,UTA,8:24 PM
3MI,1,5:01,11,20,9,Jalen Williams,OKC,OKC,UTA,8:24 PM
OR,1,4:59,11,20,9,Chet Holmgren,OKC,OKC,UTA,8:24 PM
ST,1,4:56,11,20,9,Collin Sexton,UTA,OKC,UTA,8:25 PM
TO,1,4:56,11,20,9,Chet Holmgren,OKC,OKC,UTA,8:25 PM
2MI,1,4:45,11,20,9,Collin Sexton,UTA,OKC,UTA,8:25 PM
DR,1,4:43,11,20,9,Luguentz Dort,OKC,OKC,UTA,8:25 PM
2MI,1,4:33,11,20,9,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:25 PM
DR,1,4:31,11,20,9,Keyonte George,UTA,OKC,UTA,8:25 PM
2MI,1,4:22,11,20,9,Keyonte George,UTA,OKC,UTA,8:25 PM
DR,1,4:20,11,20,9,Josh Giddey,OKC,OKC,UTA,8:25 PM
AS,1,4:15,11,22,11,Josh Giddey,OKC,OKC,UTA,8:25 PM
2MA,1,4:15,11,22,11,Jalen Williams,OKC,OKC,UTA,8:25 PM
OT,1,4:14,11,22,11,Chet Holmgren,OKC,OKC,UTA,8:25 PM
OT,1,4:14,11,22,11,Luguentz Dort,OKC,OKC,UTA,8:25 PM
OT,1,4:14,11,22,11,Josh Giddey,OKC,OKC,UTA,8:25 PM
OT,1,4:14,11,22,11,Jalen Williams,OKC,OKC,UTA,8:25 PM
IN,1,4:14,11,22,11,Isaiah Joe,OKC,OKC,UTA,8:25 PM
IN,1,4:14,11,22,11,Jaylin Williams,OKC,OKC,UTA,8:25 PM
IN,1,4:14,11,22,11,Gordon Hayward,OKC,OKC,UTA,8:25 PM
IN,1,4:14,11,22,11,Cason Wallace,OKC,OKC,UTA,8:25 PM
OT,1,4:14,11,22,11,Kris Dunn,UTA,OKC,UTA,8:25 PM
OT,1,4:14,11,22,11,Taylor Hendricks,UTA,OKC,UTA,8:25 PM
OT,1,4:14,11,22,11,John Collins,UTA,OKC,UTA,8:25 PM
OT,1,4:14,11,22,11,Keyonte George,UTA,OKC,UTA,8:25 PM
IN,1,4:14,11,22,11,Talen Horton-Tucker,UTA,OKC,UTA,8:25 PM
IN,1,4:14,11,22,11,Walker Kessler,UTA,OKC,UTA,8:25 PM
IN,1,4:14,11,22,11,Micah Potter,UTA,OKC,UTA,8:25 PM
IN,1,4:14,11,22,11,Johnny Juzang,UTA,OKC,UTA,8:25 PM
TM,1,4:14,11,22,11,,,OKC,UTA,8:25 PM
2MA,1,3:53,13,22,9,Talen Horton-Tucker,UTA,OKC,UTA,8:29 PM
FD,1,3:53,13,22,9,Talen Horton-Tucker,UTA,OKC,UTA,8:29 PM
FL,1,3:53,13,22,9,Isaiah Joe,OKC,OKC,UTA,8:29 PM
1MA,1,3:53,14,22,8,Talen Horton-Tucker,UTA,OKC,UTA,8:29 PM
3MI,1,3:36,14,22,8,Isaiah Joe,OKC,OKC,UTA,8:29 PM
DR,1,3:33,14,22,8,Walker Kessler,UTA,OKC,UTA,8:29 PM
AS,1,3:22,16,22,6,Collin Sexton,UTA,OKC,UTA,8:29 PM
2MA,1,3:22,16,22,6,Walker Kessler,UTA,OKC,UTA,8:29 PM
3MI,1,3:07,16,22,6,Jaylin Williams,OKC,OKC,UTA,8:30 PM
OR,1,3:05,16,22,6,Gordon Hayward,OKC,OKC,UTA,8:30 PM
AS,1,3:00,16,24,8,Gordon Hayward,OKC,OKC,UTA,8:30 PM
2MA,1,3:00,16,24,8,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:30 PM
2MA,1,2:43,18,24,6,Collin Sexton,UTA,OKC,UTA,8:30 PM
2MI,1,2:33,18,24,6,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:30 PM
DR,1,2:30,18,24,6,Collin Sexton,UTA,OKC,UTA,8:30 PM
2MI,1,2:21,18,24,6,Talen Horton-Tucker,UTA,OKC,UTA,8:31 PM
DR,1,2:18,18,24,6,Jaylin Williams,OKC,OKC,UTA,8:31 PM
3MI,1,2:15,18,24,6,Cason Wallace,OKC,OKC,UTA,8:31 PM
DR,1,2:12,18,24,6,Talen Horton-Tucker,UTA,OKC,UTA,8:31 PM
AS,1,2:03,21,24,3,Collin Sexton,UTA,OKC,UTA,8:31 PM
3MA,1,2:03,21,24,3,Micah Potter,UTA,OKC,UTA,8:31 PM
AS,1,1:47,21,27,6,Shai Gilgeous-Alexander,OKC,OKC,UTA,8:31 PM
3MA,1,1:47,21,27,6,Jaylin Williams,OKC,OKC,UTA,8:31 PM
2MA,1,1:29,23,27,4,Collin Sexton,UTA,OKC,UTA,8:31 PM
