SP,1,12:00,0,0,0,,,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Aaron Wiggins,OKC,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Cason Wallace,OKC,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Josh Giddey,OKC,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Kristaps Porziņģis,BOS,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Jaylen Brown,BOS,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Derrick White,BOS,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Jayson Tatum,BOS,BOS,OKC,7:44 PM
IN,1,12:00,0,0,0,Jrue Holiday,BOS,BOS,OKC,7:44 PM
JM,1,12:00,0,0,0,Kristaps Porziņģis,BOS,BOS,OKC,7:44 PM
3MI,1,11:39,0,0,0,Jaylen Brown,BOS,BOS,OKC,7:44 PM
OR,1,11:38,0,0,0,Kristaps Porziņģis,BOS,BOS,OKC,7:44 PM
FD,1,11:35,0,0,0,Kristaps Porziņģis,BOS,BOS,OKC,7:44 PM
FL,1,11:35,0,0,0,Luguentz Dort,OKC,BOS,OKC,7:44 PM
2MA,1,11:21,0,2,2,Kristaps Porziņģis,BOS,BOS,OKC,7:45 PM
3MI,1,11:05,0,2,2,Chet Holmgren,OKC,BOS,OKC,7:45 PM
OR,1,11:03,0,2,2,Chet Holmgren,OKC,BOS,OKC,7:45 PM
2MA,1,10:58,2,2,TIE,Chet Holmgren,OKC,BOS,OKC,7:45 PM
3MI,1,10:40,2,2,TIE,Derrick White,BOS,BOS,OKC,7:45 PM
DR,1,10:39,2,2,TIE,Chet Holmgren,OKC,BOS,OKC,7:46 PM
BL,1,10:25,2,2,TIE,Derrick White,BOS,BOS,OKC,7:46 PM
2MI,1,10:25,2,2,TIE,Chet Holmgren,OKC,BOS,OKC,7:46 PM
DR,1,10:23,2,2,TIE,Kristaps Porziņģis,BOS,BOS,OKC,7:46 PM
2MI,1,10:15,2,2,TIE,Jayson Tatum,BOS,BOS,OKC,7:46 PM
OR,1,10:14,2,2,TIE,Jayson Tatum,BOS,BOS,OKC,7:46 PM
2MA,1,10:14,2,4,2,Jayson Tatum,BOS,BOS,OKC,7:46 PM
TO,1,9:54,2,4,2,Aaron Wiggins,OKC,BOS,OKC,7:46 PM
2MI,1,9:49,2,4,2,Jayson Tatum,BOS,BOS,OKC,7:46 PM
DR,1,9:46,2,4,2,Chet Holmgren,OKC,BOS,OKC,7:47 PM
3MI,1,9:40,2,4,2,Chet Holmgren,OKC,BOS,OKC,7:47 PM
DR,1,9:37,2,4,2,Jaylen Brown,BOS,BOS,OKC,7:47 PM
AS,1,9:28,2,7,5,Jaylen Brown,BOS,BOS,OKC,7:47 PM
3MA,1,9:28,2,7,5,Kristaps Porziņģis,BOS,BOS,OKC,7:47 PM
TO,1,9:11,2,7,5,Aaron Wiggins,OKC,BOS,OKC,7:47 PM
ST,1,9:00,2,7,5,Aaron Wiggins,OKC,BOS,OKC,7:47 PM
TO,1,9:00,2,7,5,Jaylen Brown,BOS,BOS,OKC,7:47 PM
AS,1,8:57,4,7,3,Josh Giddey,OKC,BOS,OKC,7:47 PM
2MA,1,8:57,4,7,3,Cason Wallace,OKC,BOS,OKC,7:47 PM
3MI,1,8:46,4,7,3,Jayson Tatum,BOS,BOS,OKC,7:48 PM
DR,1,8:45,4,7,3,Aaron Wiggins,OKC,BOS,OKC,7:48 PM
2MA,1,8:36,6,7,1,Josh Giddey,OKC,BOS,OKC,7:48 PM
3MI,1,8:17,6,7,1,Derrick White,BOS,BOS,OKC,7:48 PM
DR,1,8:16,6,7,1,Luguentz Dort,OKC,BOS,OKC,7:48 PM
3MI,1,8:08,6,7,1,Luguentz Dort,OKC,BOS,OKC,7:48 PM
DR,1,8:06,6,7,1,Jrue Holiday,BOS,BOS,OKC,7:48 PM
